A0A024RBG1,NUD4B_HUMAN
A0A075B6I1,LV460_HUMAN
A0A087WVF3,TBC3D_HUMAN
A0A087WWA1,P3URF_HUMAN
A0A087WXM9,MEIKN_HUMAN
A0A087WXS9,TBC3I_HUMAN
A0A087X179,TBC3E_HUMAN
A0A087X1G2,TBC3K_HUMAN
A0A096LP49,CC187_HUMAN
A0A0A6YYL3,POTEB_HUMAN
A0A0B4J2D5,GAL3B_HUMAN
A0A0B4J2F2,SIK1B_HUMAN
A0A0J9YWL9,TX13C_HUMAN
A0A0J9YXQ4,PMA6E_HUMAN
A0A0J9YY54,TX13D_HUMAN
A0A0K2S4Q6,CD3CH_HUMAN
A0A0U1RQF7,DP2NB_HUMAN
A0A0U1RQI7,KLF18_HUMAN
A0A0U1RQS6,TM275_HUMAN
A0A0U1RR11,CENL1_HUMAN
A0A0U1RR37,CA232_HUMAN
A0A0U1RRE5,NBDY_HUMAN
A0A0U1RRK4,LBHD2_HUMAN
A0A0U1RRL7,MMPOS_HUMAN
A0A1B0GTD5,TEX49_HUMAN
A0A1B0GTH6,CS2IP_HUMAN
A0A1B0GTI1,CC201_HUMAN
A0A1B0GTL2,CT204_HUMAN
A0A1B0GTR0,EDD13_HUMAN
A0A1B0GTS1,HSFX4_HUMAN
A0A1B0GTU1,ZC11B_HUMAN
A0A1B0GTW7,LMLN2_HUMAN
A0A1B0GTZ2,CC196_HUMAN
A0A1B0GU29,SIM28_HUMAN
A0A1B0GU33,TEX53_HUMAN
A0A1B0GUA5,SIM32_HUMAN
A0A1B0GUA6,CC195_HUMAN
A0A1B0GUA9,CM046_HUMAN
A0A1B0GUJ8,PNM8C_HUMAN
A0A1B0GUS0,CS085_HUMAN
A0A1B0GUT2,CJ143_HUMAN
A0A1B0GUV7,TEX48_HUMAN
A0A1B0GUW6,SPEM3_HUMAN
A0A1B0GUX0,VAFNB_HUMAN
A0A1B0GUY1,MRCOL_HUMAN
A0A1B0GV85,RELD1_HUMAN
A0A1B0GV90,CTXD2_HUMAN
A0A1B0GVG4,CC194_HUMAN
A0A1B0GVG6,TEX54_HUMAN
A0A1B0GVH6,CM042_HUMAN
A0A1B0GVH7,IQCM_HUMAN
A0A1B0GVM6,CK097_HUMAN
A0A1B0GVN3,CB092_HUMAN
A0A1B0GVQ3,CC200_HUMAN
A0A1B0GVS7,MDFI2_HUMAN
A0A1B0GVY4,SIM31_HUMAN
A0A1B0GVZ6,MB3LB_HUMAN
A0A1B0GW64,SIM33_HUMAN
A0A1B0GWB2,PRT1B_HUMAN
A0A1B0GWG4,SRTM2_HUMAN
A0A1B0GWH4,HSFX3_HUMAN
A0A1W2PP97,THSD8_HUMAN
A0A1W2PPF3,DUXB_HUMAN
A0A1W2PPM1,CPHXL_HUMAN
A0A1W2PQ73,ERFL_HUMAN
A0A1W2PR48,TLE7_HUMAN
A0A1W2PR82,PERC1_HUMAN
A0A1W2PS18,PMIS2_HUMAN
A0A286YF01,SCGR7_HUMAN
A0A286YF58,TM271_HUMAN
A0A286YF60,SCGR3_HUMAN
A0A286YF77,SCGR6_HUMAN
A0A2R8YCJ5,SIM41_HUMAN
A0A2Z4LIS9,FXO3B_HUMAN
A0AUZ9,KAL1L_HUMAN
A0AV02,S12A8_HUMAN
A0AVI2,FR1L5_HUMAN
A0AVK6,E2F8_HUMAN
A0AVT1,UBA6_HUMAN
A0FGR9,ESYT3_HUMAN
A0JNW5,UH1BL_HUMAN
A0JP26,POTB3_HUMAN
A0MZ66,SHOT1_HUMAN
A0PG75,PLS5_HUMAN
A0PJW8,DAPL1_HUMAN
A0PJX2,TLDC2_HUMAN
A0PJX4,SHSA3_HUMAN
A0PJY2,FEZF1_HUMAN
A0PJZ3,GXLT2_HUMAN
A0PK05,TMM72_HUMAN
A1A4G5,LNP1_HUMAN
A1A4S6,RHG10_HUMAN
A1A4V9,CC189_HUMAN
A1A519,F170A_HUMAN
A1A5B4,ANO9_HUMAN
A1A5C7,S22AN_HUMAN
A1A5D9,BICL2_HUMAN
A1E959,ODAM_HUMAN
A1KXE4,F168B_HUMAN
A1KZ92,PXDNL_HUMAN
A1L020,MEX3A_HUMAN
A1L0T0,ILVBL_HUMAN
A1L162,ERIC2_HUMAN
A1L170,CA226_HUMAN
A1L390,PKHG3_HUMAN
A1L429,GG12C_HUMAN
A1L443,NTM2F_HUMAN
A1L453,PRS38_HUMAN
A1L4H1,SRCRL_HUMAN
A1L4K1,FSD2_HUMAN
A1L4L8,PL8L1_HUMAN
A1X283,SPD2B_HUMAN
A1XBS5,FA92A_HUMAN
A1YPR0,ZBT7C_HUMAN
A1Z1Q3,MACD2_HUMAN
A2A288,ZC12D_HUMAN
A2A2V5,SRTM1_HUMAN
A2A2Y4,FRMD3_HUMAN
A2A2Z9,AN18B_HUMAN
A2A368,MAGBG_HUMAN
A2A3K4,PTPC1_HUMAN
A2A3L6,TTC24_HUMAN
A2AJT9,BCLA3_HUMAN
A2CJ06,DYTN_HUMAN
A2IDD5,CCD78_HUMAN
A2PYH4,HFM1_HUMAN
A2RRP1,NBAS_HUMAN
A2RTX5,SYTC2_HUMAN
A2RU30,TESP1_HUMAN
A2RU54,HMX2_HUMAN
A2RU67,F234B_HUMAN
A2RUB1,MEIOC_HUMAN
A2RUB6,CCD66_HUMAN
A2RUS2,DEND3_HUMAN
A2VCK2,DCD2B_HUMAN
A2VDJ0,T131L_HUMAN
A3KMH1,VWA8_HUMAN
A3KN83,SBNO1_HUMAN
A4D0V7,CPED1_HUMAN
A4D126,ISPD_HUMAN
A4D161,F221A_HUMAN
A4D1E1,Z804B_HUMAN
A4D1E9,GTPBA_HUMAN
A4D1F6,LRRD1_HUMAN
A4D1P6,WDR91_HUMAN
A4D1S0,KLRG2_HUMAN
